acad_career,strm,descr,descrshort,term_begin_dt,term_end_dt,term_category
UGRD,974,"20181 Curso de Verano",20181CV,"2017-11-29 00:00:00","2018-01-15 00:00:00",CV
UGRD,975,"Primer Periodo de 2018",20181,"2018-01-22 00:00:00","2018-06-02 00:00:00",RE
UGRD,980,"Segundo Periodo de 2018",20182,"2018-07-23 00:00:00","2018-11-24 00:00:00",RE
UGRD,979,"20182 Curso de Verano",20182CV,"2018-06-07 00:00:00","2018-07-17 00:00:00",CV
UGRD,985,"Primer Periodo de 2019",20191,"2019-01-21 00:00:00","2019-06-01 00:00:00",RE
UGRD,984,"20191 Curso de Verano",20191CV,"2018-11-28 00:00:00","2019-01-11 00:00:00",CV
UGRD,990,"Segundo Periodo de 2019",20192,"2019-07-22 00:00:00","2019-11-23 00:00:00",RE
UGRD,989,"20192 Curso de Verano",20192CV,"2019-06-06 00:00:00","2019-07-17 00:00:00",CV
UGRD,1007,"20201 Curso de Verano",20201CV,"2019-11-27 00:00:00","2020-01-10 00:00:00",CV
UGRD,1008,"Primer Periodo 2020",20201,"2020-01-20 00:00:00","2020-05-30 00:00:00",RE
UGRD,1015,"Segundo Periodo 2020",20202,"2020-08-10 00:00:00","2020-12-16 00:00:00",RE
UGRD,1027,"Primer Periodo 2021",20211,"2021-02-01 00:00:00","2021-06-12 00:00:00",RE
UGRD,1039,"Segundo Periodo 2021",20212,"2021-07-26 00:00:00","2021-11-27 00:00:00",RE
UGRD,1014,"20202 Curso de Verano",20202CV,"2020-06-16 00:00:00","2020-07-22 00:00:00",CV
UGRD,1049,"Primer Periodo 2022",20221,"2022-01-24 00:00:00","2022-06-04 00:00:00",RE
UGRD,1041,"20212 Validacion",20212VLN,"2021-07-27 00:00:00","2021-12-18 00:00:00",VLN
UGRD,1059,"Segundo Periodo 2022",20222,"2022-07-25 00:00:00","2022-11-26 00:00:00",RE
UGRD,1070,"20231 Curso de Verano",20231CV,"2022-11-30 00:00:00","2023-01-12 00:00:00",CV
